station_id,name,address,capacity
54,054 - Acuña de Figueroa,"Lavalle & Acuña De Figueroa, Francisco",20
55,055 - Bouchard,Viamonte 101,20
56,056 - Plaza Palermo Viejo,Costa Rica & Armenia,16
57,057 - BELGRANO,Balcarce 482,16
58,058 - Ministro Carranza,Santa Fe Av. & Dorrego,20
59,018 - Independencia,Idependencia y Bernardo de Irigoyen,19
60,060 - 25 De Mayo,527 25 De Mayo,19
62,062 - Córdoba,820 Maipú,20
63,063 - Reconquista,Reconquista 76 & Cordoba Av.,20
64,064 - RIOBAMBA,Riobamba 1264 & Juncal,20
65,065 - Julián Álvarez,3822 Guemes,20
66,066 - Billinghurst,3508 Carcova,19
68,068 - Rivarola,175  Dr. Rodolfo Rivarola,19
69,069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",15
70,070 - ARAOZ,1413 Araoz & Gorriti CABA,19
71,071 - CERRITO,"Av Pres. Roque Saenz Peña, Diagonal Norte",30
72,072 - Venezuela,Peru 490,18
73,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,15
74,074 - INSTITUTO  LELOIR,Juana De Ibarbourou & Av Patricias Argentinas,30
75,075 - Plaza Primero de Mayo,238 Pichincha,18
76,076 - Ayacucho,"Ayacucho &Peron, Juan Domingo, Tte. General",20
77,077 - SARANDI,"176 Sarandi & Alsina, Adolfo",19
78,078 - SUIPACHA Y ARROYO,1420 Suipacha,19
79,079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",28
80,080 - DOBLAS,608 Doblas & Valle,16
82,082 - HOSPITAL ITALIANO,394 Rawson & Potosi,20
83,083 - Paraná,1590 Lavalle,20
84,084 - Lavalle,Ayacucho 595,20
85,085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",20
86,086 - SAAVEDRA,1019 Saavedra,20
87,087 - Guayaquil,Guayaquil & Doblas,14
88,088 - MISIONES,MISIONES 209,19
89,089 - Cabello,3082 Cabello,18
90,090 - GUTIERREZ,"2685 Gutierrez, Juan Maria & Aguero",20
91,091 - Pasco,708 Pasco & Chile,20
92,092 - Salcedo,2908 Salcedo & Dean Funes,20
93,093 - CARLOS CALVO,Sarandi 1010,20
94,094 - GÚZMAN,Av Guzman 129 & Leiva,30
95,095 - ESMERALDA,ESMERALDA 516,16
96,096 - Carlos Gardel,3302 Guardia Vieja & Aguero,20
98,098 - Belgrano y roca,Av Belgrano 705,16
99,099 - Malabia,780 Malabia & Loyola,20
101,101 - Fitz Roy,Fitz Roy  1092 & Loyola,20
102,102 - ROSETI,50 Roseti & Dorrego Av.,12
